,precision,recall,f1-score,support
A,1.0,1.0,1.0,331.0
B,1.0,0.9976851851851852,0.9988412514484357,432.0
C,1.0,0.9612903225806452,0.9802631578947368,310.0
D,1.0,1.0,1.0,245.0
E,0.9920318725099602,1.0,0.996,498.0
F,1.0,1.0,1.0,247.0
G,0.8838526912181303,0.896551724137931,0.8901569186875892,348.0
H,1.0,0.9036697247706422,0.9493975903614458,436.0
I,0.9340277777777778,0.9340277777777778,0.9340277777777778,288.0
J,0.0,0.0,0.0,0.0
K,0.8826666666666667,1.0,0.9376770538243626,331.0
L,0.9812206572769953,1.0,0.990521327014218,209.0
M,0.9468354430379747,0.949238578680203,0.9480354879594424,394.0
N,1.0,0.8556701030927835,0.9222222222222223,291.0
O,0.917910447761194,1.0,0.9571984435797666,246.0
P,1.0,1.0,1.0,347.0
Q,0.8913043478260869,1.0,0.9425287356321839,164.0
R,0.993103448275862,1.0,0.9965397923875432,144.0
S,0.9389312977099237,1.0,0.968503937007874,246.0
T,0.9120879120879121,0.6693548387096774,0.772093023255814,248.0
U,0.9959016393442623,0.9135338345864662,0.9529411764705882,266.0
V,1.0,1.0,1.0,346.0
W,1.0,1.0,1.0,206.0
X,0.7970149253731343,1.0,0.8870431893687708,267.0
Y,0.9427710843373494,0.9427710843373494,0.9427710843373494,332.0
accuracy,0.958728388176241,0.958728388176241,0.958728388176241,0.958728388176241
macro avg,0.9203864084481291,0.9209517269543465,0.9186704867692047,7172.0
weighted avg,0.9613466341282056,0.958728388176241,0.9581685513665101,7172.0
